setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
47,2022,21/11/2022,27/11/2022,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Home,10 a 14,3,2,2
44,2022,31/10/2022,06/11/2022,70,Penedès,70,Penedès,Dona,40 a 44,4,1,0
43,2023,23/10/2023,29/10/2023,61,Lleida,61,Lleida,Dona,45 a 49,4,1,1
11,2023,13/03/2023,19/03/2023,70,Penedès,70,Penedès,Home,80 o més,4,1,0
29,2022,18/07/2022,24/07/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,65 a 69,3,1,1
28,2023,10/07/2023,16/07/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,80 o més,4,3,2
5,2023,30/01/2023,05/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,45 a 49,4,2,1
22,2022,30/05/2022,05/06/2022,64,Girona,64,Girona,Dona,30 a 34,3,1,0
27,2022,04/07/2022,10/07/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,50 a 54,2,1,1
31,2023,31/07/2023,06/08/2023,70,Penedès,70,Penedès,Dona,5 a 9,3,1,0
46,2022,14/11/2022,20/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,70 a 74,2,1,0
31,2023,31/07/2023,06/08/2023,61,Lleida,61,Lleida,Dona,40 a 44,4,1,1
18,2023,01/05/2023,07/05/2023,61,Lleida,61,Lleida,Home,3 i 4,4,2,1
8,2023,20/02/2023,26/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,15 a 19,3,1,0
49,2022,05/12/2022,11/12/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,25 a 29,2,1,1
33,2022,15/08/2022,21/08/2022,64,Girona,64,Girona,Dona,15 a 19,3,1,0
46,2022,14/11/2022,20/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,75 a 79,2,1,1
11,2023,13/03/2023,19/03/2023,61,Lleida,61,Lleida,Dona,20 a 24,2,1,1
21,2022,23/05/2022,29/05/2022,70,Penedès,70,Penedès,Home,75 a 79,3,1,1
8,2023,20/02/2023,26/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,65 a 69,2,1,0
25,2022,20/06/2022,26/06/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,40 a 44,3,1,1
21,2023,22/05/2023,28/05/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,30 a 34,3,1,1
13,2024,25/03/2024,31/03/2024,70,Penedès,70,Penedès,Dona,40 a 44,3,1,1
17,2023,24/04/2023,30/04/2023,70,Penedès,70,Penedès,Dona,35 a 39,4,2,2
35,2022,29/08/2022,04/09/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,50 a 54,4,1,1
35,2022,29/08/2022,04/09/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Home,80 o més,3,1,0
38,2022,19/09/2022,25/09/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,5 a 9,2,2,1
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,3 i 4,2,1,0
39,2023,25/09/2023,01/10/2023,67,Catalunya Central,67,Catalunya Central,Dona,20 a 24,4,1,1
48,2022,28/11/2022,04/12/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,25 a 29,2,2,2
12,2023,20/03/2023,26/03/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,55 a 59,4,1,0
13,2024,25/03/2024,31/03/2024,64,Girona,64,Girona,Dona,10 a 14,3,1,0
23,2023,05/06/2023,11/06/2023,70,Penedès,70,Penedès,Home,5 a 9,3,2,0
39,2022,26/09/2022,02/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,3 i 4,3,1,1
52,2022,26/12/2022,01/01/2023,64,Girona,64,Girona,Dona,80 o més,3,1,1
38,2023,18/09/2023,24/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,5 a 9,4,1,1
28,2022,11/07/2022,17/07/2022,64,Girona,64,Girona,Dona,30 a 34,3,3,2
9,2023,27/02/2023,05/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,50 a 54,2,2,2
16,2023,17/04/2023,23/04/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,50 a 54,3,2,0
33,2023,14/08/2023,20/08/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,25 a 29,3,1,1
1,2023,02/01/2023,08/01/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,25 a 29,4,3,2
20,2022,16/05/2022,22/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,25 a 29,4,2,2
42,2022,17/10/2022,23/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,60 a 64,2,1,1
20,2023,15/05/2023,21/05/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,75 a 79,2,1,1
3,2023,16/01/2023,22/01/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,25 a 29,3,1,1
25,2022,20/06/2022,26/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,70 a 74,3,2,2
27,2022,04/07/2022,10/07/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,20 a 24,3,1,1
2,2023,09/01/2023,15/01/2023,70,Penedès,70,Penedès,Home,55 a 59,3,1,1
3,2023,16/01/2023,22/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,20 a 24,3,1,1
39,2022,26/09/2022,02/10/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,5 a 9,4,1,0
39,2022,26/09/2022,02/10/2022,70,Penedès,70,Penedès,Home,30 a 34,4,1,1
22,2022,30/05/2022,05/06/2022,61,Lleida,61,Lleida,Home,30 a 34,4,2,1
43,2023,23/10/2023,29/10/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Home,55 a 59,3,1,1
